review_id,user_id,product_id,product,text,rating,date
R0103,U012,P007,Электрочайник GlassHeat,"Покупка средняя, ожидания частично оправдались. Особенно заметно: стильно, но неудобно.",3,2026-04-04
R0104,U038,P007,Электрочайник GlassHeat,"Хорошая сборка, приятный дизайн, цена полностью оправдана. Особенно заметно: удобно, надежно.",4,2026-02-04
R0105,U016,P008,Игровая мышь CyberClick,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: аккуратно, надежно.",4,2026-04-07
R0106,U032,P001,Смартфон Aurora X1,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: приятно, надежно.",5,2026-04-19
R0107,U022,P005,Пылесос CleanBot Mini,"Пришёл брак, пришлось писать в поддержку и оформлять возврат. Особенно заметно: брак, возврат.",1,2026-02-05
R0108,U006,P004,Умные часы FitTime Pro,"Можно пользоваться, но качество не идеальное. Особенно заметно: приятно, но неудобно.",3,2026-01-31
R0109,U032,P011,Планшет TabLine 10,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: возврат, шум.",2,2026-02-27
R0110,U045,P007,Электрочайник GlassHeat,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: качественно, приятно.",4,2026-02-01
R0111,U034,P009,Клавиатура KeyMaster RGB,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: качественно, надежно.",4,2026-02-14
R0112,U030,P012,Роутер HomeNet AX,"Хорошая сборка, приятный дизайн, цена полностью оправдана. Особенно заметно: удобно, качественно.",4,2026-02-04
R0113,U021,P004,Умные часы FitTime Pro,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: царапина, шум.",2,2026-01-16
R0114,U031,P012,Роутер HomeNet AX,"Покупка средняя, ожидания частично оправдались. Особенно заметно: удобно, но царапина.",3,2026-02-05
R0115,U015,P005,Пылесос CleanBot Mini,"Отличный товар, работает быстро и стабильно, покупкой довольна. Особенно заметно: надежно, стильно.",5,2026-02-16
R0116,U004,P001,Смартфон Aurora X1,"Очень удобная вещь, пользуюсь каждый день, рекомендую к покупке. Особенно заметно: стильно, быстро.",5,2026-03-12
R0117,U037,P001,Смартфон Aurora X1,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: качественно, удобно.",4,2026-02-06
R0118,U017,P001,Смартфон Aurora X1,"Качество выше ожиданий, упаковка аккуратная, доставка пришла вовремя. Особенно заметно: аккуратно, приятно.",4,2026-04-21
R0119,U037,P002,Ноутбук VectorBook 14,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: надежно, но возврат.",3,2026-03-22
R0120,U016,P002,Ноутбук VectorBook 14,"Можно пользоваться, но качество не идеальное. Особенно заметно: приятно, но медленно.",3,2026-01-16
R0121,U029,P008,Игровая мышь CyberClick,"Описание на сайте красивое, но в реальности товар заметно хуже. Особенно заметно: возврат, неудобно.",2,2026-02-08
R0122,U004,P010,Монитор VisionView 27,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: царапина, поломка.",1,2026-03-20
R0123,U017,P004,Умные часы FitTime Pro,"Хорошая сборка, приятный дизайн, цена полностью оправдана. Особенно заметно: надежно, выгодно.",5,2026-03-26
R0124,U011,P002,Ноутбук VectorBook 14,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: стильно, надежно.",4,2026-01-01
R0125,U015,P001,Смартфон Aurora X1,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: удобно, качественно.",4,2026-02-06
R0126,U017,P004,Умные часы FitTime Pro,"Не подошло, работает нестабильно, интерфейс неудобный и медленный. Особенно заметно: царапина, неудобно.",2,2026-04-11
R0127,U035,P002,Ноутбук VectorBook 14,"Покупка средняя, ожидания частично оправдались. Особенно заметно: надежно, но шум.",3,2026-01-29
R0128,U011,P001,Смартфон Aurora X1,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: выгодно, приятно.",5,2026-04-12
R0129,U030,P002,Ноутбук VectorBook 14,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: выгодно, стильно.",4,2026-03-30
R0130,U032,P009,Клавиатура KeyMaster RGB,"Отличный товар, работает быстро и стабильно, покупкой довольна. Особенно заметно: аккуратно, качественно.",5,2026-02-26
R0131,U039,P006,Кофемашина AromaBarista,"Хорошая сборка, приятный дизайн, цена полностью оправдана. Особенно заметно: быстро, аккуратно.",5,2026-02-02
R0132,U018,P011,Планшет TabLine 10,"Очень удобная вещь, пользуюсь каждый день, рекомендую к покупке. Особенно заметно: стильно, выгодно.",5,2026-03-15
R0133,U029,P011,Планшет TabLine 10,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: аккуратно, качественно.",5,2026-02-05
R0134,U006,P008,Игровая мышь CyberClick,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: качественно, стильно.",4,2026-03-02
R0135,U011,P002,Ноутбук VectorBook 14,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: выгодно, качественно.",4,2026-02-12
R0136,U036,P007,Электрочайник GlassHeat,"Покупка средняя, ожидания частично оправдались. Особенно заметно: выгодно, но поломка.",3,2026-01-05
R0137,U026,P002,Ноутбук VectorBook 14,"Отличный товар, работает быстро и стабильно, покупкой довольна. Особенно заметно: стильно, приятно.",4,2026-04-21
R0138,U013,P001,Смартфон Aurora X1,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: стильно, аккуратно.",5,2026-03-08
R0139,U014,P001,Смартфон Aurora X1,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: стильно, качественно.",4,2026-02-04
R0140,U008,P008,Игровая мышь CyberClick,"Не подошло, работает нестабильно, интерфейс неудобный и медленный. Особенно заметно: царапина, поломка.",1,2026-01-04
R0141,U020,P003,Беспроводные наушники SonicPods,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: удобно, стильно.",5,2026-03-12
R0142,U030,P002,Ноутбук VectorBook 14,"Нормально за свою цену, есть плюсы и минусы. Особенно заметно: стильно, но возврат.",3,2026-01-16
R0143,U018,P009,Клавиатура KeyMaster RGB,"Покупкой недовольна, заряд держит мало, подключение часто пропадает. Особенно заметно: царапина, неудобно.",2,2026-02-23
R0144,U010,P009,Клавиатура KeyMaster RGB,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: надежно, аккуратно. Меня зовут Мария, телефон +7 999 382-63-53.",5,2026-02-19
R0145,U018,P009,Клавиатура KeyMaster RGB,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: стильно, аккуратно.",5,2026-04-16
R0146,U029,P003,Беспроводные наушники SonicPods,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: аккуратно, приятно.",4,2026-03-10
R0147,U013,P006,Кофемашина AromaBarista,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: приятно, аккуратно.",5,2026-03-31
R0148,U003,P007,Электрочайник GlassHeat,"Описание на сайте красивое, но в реальности товар заметно хуже. Особенно заметно: медленно, поломка.",2,2026-02-10
R0149,U010,P011,Планшет TabLine 10,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: поломка, медленно.",1,2026-03-05
R0150,U029,P002,Ноутбук VectorBook 14,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: быстро, качественно.",4,2026-01-13
R0151,U027,P003,Беспроводные наушники SonicPods,"Очень удобная вещь, пользуюсь каждый день, рекомендую к покупке. Особенно заметно: удобно, приятно.",4,2026-04-22
R0152,U022,P005,Пылесос CleanBot Mini,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: поломка, медленно.",2,2026-03-21
R0153,U035,P011,Планшет TabLine 10,"Покупкой недовольна, заряд держит мало, подключение часто пропадает. Особенно заметно: брак, возврат.",1,2026-02-18
R0154,U016,P002,Ноутбук VectorBook 14,"Покупка средняя, ожидания частично оправдались. Особенно заметно: приятно, но шум.",3,2026-03-22
R0155,U007,P007,Электрочайник GlassHeat,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: неудобно, шум.",2,2026-04-08
R0156,U020,P012,Роутер HomeNet AX,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: быстро, надежно.",5,2026-04-26
R0157,U024,P006,Кофемашина AromaBarista,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: аккуратно, выгодно.",5,2026-02-25
R0158,U012,P011,Планшет TabLine 10,"Очень довольна заказом, товар соответствует описанию и фото. Особенно заметно: аккуратно, выгодно.",5,2026-01-22
R0159,U016,P011,Планшет TabLine 10,"Не рекомендую, устройство шумит, иногда зависает и плохо работает. Особенно заметно: царапина, неудобно.",1,2026-03-05
R0160,U017,P011,Планшет TabLine 10,"Отличный товар, работает быстро и стабильно, покупкой довольна. Особенно заметно: стильно, надежно.",5,2026-02-28
R0161,U035,P011,Планшет TabLine 10,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: выгодно, качественно.",5,2026-01-21
R0162,U045,P007,Электрочайник GlassHeat,"Покупка средняя, ожидания частично оправдались. Особенно заметно: приятно, но медленно.",3,2026-02-02
R0163,U007,P008,Игровая мышь CyberClick,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: выгодно, качественно.",4,2026-01-31
R0164,U002,P005,Пылесос CleanBot Mini,"Пришёл брак, пришлось писать в поддержку и оформлять возврат. Особенно заметно: брак, возврат.",2,2026-04-17
R0165,U004,P011,Планшет TabLine 10,"Пришёл брак, пришлось писать в поддержку и оформлять возврат. Особенно заметно: царапина, возврат.",2,2026-03-19
R0166,U015,P006,Кофемашина AromaBarista,"Товар понравился, всё подключилось без проблем, инструкция понятная. Особенно заметно: надежно, качественно.",5,2026-03-23
R0167,U041,P002,Ноутбук VectorBook 14,"Сервис магазина порадовал, товар новый, без дефектов и царапин. Особенно заметно: быстро, выгодно.",5,2026-03-24
R0168,U009,P006,Кофемашина AromaBarista,"Пластик дешевый, сборка хлипкая, товар не стоит своих денег. Особенно заметно: медленно, шум.",1,2026-01-12
R0169,U009,P004,Умные часы FitTime Pro,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: выгодно, аккуратно.",4,2026-04-11
R0170,U017,P003,Беспроводные наушники SonicPods,"Пришёл брак, пришлось писать в поддержку и оформлять возврат. Особенно заметно: поломка, медленно. Свяжитесь со мной по номеру 8-916-217-69-19.",1,2026-04-16
R0171,U015,P003,Беспроводные наушники SonicPods,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: качественно, быстро.",4,2026-04-21
R0172,U001,P007,Электрочайник GlassHeat,"Можно пользоваться, но качество не идеальное. Особенно заметно: качественно, но возврат.",3,2026-02-03
R0173,U025,P010,Монитор VisionView 27,"За свои деньги просто супер, функциональность отличная, нареканий нет. Особенно заметно: удобно, качественно.",4,2026-04-16
R0174,U031,P004,Умные часы FitTime Pro,"Покупка средняя, ожидания частично оправдались. Особенно заметно: приятно, но шум.",3,2026-01-04
R0175,U030,P011,Планшет TabLine 10,"Покупка удачная, устройство тихое, красивое и надежное. Особенно заметно: удобно, стильно.",4,2026-03-31
R0176,U003,P001,Смартфон Aurora X1,"Доставка задержалась, коробка была мятая, впечатление испорчено. Особенно заметно: шум, неудобно.",1,2026-02-08
R0177,U009,P009,Клавиатура KeyMaster RGB,"Работает лучше предыдущей модели, батарея держит долго, впечатления положительные. Особенно заметно: аккуратно, выгодно.",4,2026-02-19
R0178,U010,P012,Роутер HomeNet AX,"Качество выше ожиданий, упаковка аккуратная, доставка пришла вовремя. Особенно заметно: стильно, выгодно.",4,2026-04-24
R0179,U018,P007,Электрочайник GlassHeat,"Цена завышена, ожидала большего, функциональность неудобная. Особенно заметно: неудобно, царапина.",2,2026-01-05
R0180,U024,P004,Умные часы FitTime Pro,"Пластик дешевый, сборка хлипкая, товар не стоит своих денег. Особенно заметно: поломка, брак.",1,2026-01-13
R0181,U018,P007,Электрочайник GlassHeat,"Покупкой недовольна, заряд держит мало, подключение часто пропадает. Особенно заметно: шум, поломка.",1,2026-01-25
R0182,U042,P004,Умные часы FitTime Pro,"Обычный товар, в целом работает, но без сильных преимуществ. Особенно заметно: быстро, но поломка.",3,2026-03-23
